user_id,score,model_name,gender,ethnicity,age,location
user7,88,HuggingFaceH4/zephyr-7b-beta,Female,"{'self_described': 'prefer not to say', 'categorised': 'Prefer not to say', 'simplified': 'Prefer not to say'}",18-24 years old,US
user7,13,timdettmers/guanaco-33b-merged,Female,"{'self_described': 'prefer not to say', 'categorised': 'Prefer not to say', 'simplified': 'Prefer not to say'}",18-24 years old,US
user7,75,models/chat-bison-001,Female,"{'self_described': 'prefer not to say', 'categorised': 'Prefer not to say', 'simplified': 'Prefer not to say'}",18-24 years old,US
user7,69,tiiuae/falcon-7b-instruct,Female,"{'self_described': 'prefer not to say', 'categorised': 'Prefer not to say', 'simplified': 'Prefer not to say'}",18-24 years old,US
user7,74,claude-instant-1,Female,"{'self_described': 'prefer not to say', 'categorised': 'Prefer not to say', 'simplified': 'Prefer not to say'}",18-24 years old,US
user7,77,claude-2.1,Female,"{'self_described': 'prefer not to say', 'categorised': 'Prefer not to say', 'simplified': 'Prefer not to say'}",18-24 years old,US
user7,75,gpt-4-1106-preview,Female,"{'self_described': 'prefer not to say', 'categorised': 'Prefer not to say', 'simplified': 'Prefer not to say'}",18-24 years old,US
user7,62,mistralai/Mistral-7B-Instruct-v0.1,Female,"{'self_described': 'prefer not to say', 'categorised': 'Prefer not to say', 'simplified': 'Prefer not to say'}",18-24 years old,US
user7,70,models/chat-bison-001,Female,"{'self_described': 'prefer not to say', 'categorised': 'Prefer not to say', 'simplified': 'Prefer not to say'}",18-24 years old,US
user7,68,mistralai/Mistral-7B-Instruct-v0.1,Female,"{'self_described': 'prefer not to say', 'categorised': 'Prefer not to say', 'simplified': 'Prefer not to say'}",18-24 years old,US
user7,88,command,Female,"{'self_described': 'prefer not to say', 'categorised': 'Prefer not to say', 'simplified': 'Prefer not to say'}",18-24 years old,US
user7,60,HuggingFaceH4/zephyr-7b-beta,Female,"{'self_described': 'prefer not to say', 'categorised': 'Prefer not to say', 'simplified': 'Prefer not to say'}",18-24 years old,US
user7,33,claude-2.1,Female,"{'self_described': 'prefer not to say', 'categorised': 'Prefer not to say', 'simplified': 'Prefer not to say'}",18-24 years old,US
user7,74,command,Female,"{'self_described': 'prefer not to say', 'categorised': 'Prefer not to say', 'simplified': 'Prefer not to say'}",18-24 years old,US
user7,1,luminous-extended-control,Female,"{'self_described': 'prefer not to say', 'categorised': 'Prefer not to say', 'simplified': 'Prefer not to say'}",18-24 years old,US
user7,27,HuggingFaceH4/zephyr-7b-beta,Female,"{'self_described': 'prefer not to say', 'categorised': 'Prefer not to say', 'simplified': 'Prefer not to say'}",18-24 years old,US
user7,66,gpt-3.5-turbo,Female,"{'self_described': 'prefer not to say', 'categorised': 'Prefer not to say', 'simplified': 'Prefer not to say'}",18-24 years old,US
user7,57,meta-llama/Llama-2-13b-chat-hf,Female,"{'self_described': 'prefer not to say', 'categorised': 'Prefer not to say', 'simplified': 'Prefer not to say'}",18-24 years old,US
